Time,Step,X,Y,side,ref_point_x,ref_point_y,Value,Grad_X,Grad_Y,Grad_V,Grad_Theta,Hessian_XX,Hessian_XY,Hessian_XV,Hessian_XTheta,Hessian_YX,Hessian_YY,Hessian_YV,Hessian_YTheta,Hessian_VX,Hessian_VY,Hessian_VV,Hessian_VTheta,Hessian_ThetaX,Hessian_ThetaY,Hessian_ThetaV,Hessian_ThetaTheta
2025-01-16 09:19:32,0,330413.317153,3357471.009989,1,330412.923080,3357469.250838,3.234006,0.784290,3.501089,-0.002040,-0.031826,1.990215,0.000000,-0.000495,-0.007718,0.000000,1.990215,-0.002208,-0.034455,-0.000495,-0.002208,0.000001,-0.004073,-0.007718,-0.034455,-0.004073,-0.004073
2025-01-16 09:19:32,0,330413.317153,3357471.009989,-1,330414.028140,3357472.620544,3.084226,-1.415017,-3.205351,-0.001945,-0.030352,1.990215,0.000000,0.000893,0.013925,0.000000,1.990215,0.002022,0.031544,0.000893,0.002022,0.000001,-0.003885,0.013925,0.031544,-0.003885,-0.003885
2025-01-16 09:19:32,1,330411.844171,3357471.484437,1,330411.516539,3357469.702440,3.266195,0.651937,3.545906,-0.002154,-0.031527,1.989849,0.000000,-0.000430,-0.006293,0.000000,1.989849,-0.002339,-0.034226,-0.000430,-0.002339,0.000001,-0.004065,-0.006293,-0.034226,-0.004065,-0.004065
2025-01-16 09:19:32,1,330411.844171,3357471.484437,-1,330412.493462,3357473.085335,2.969306,-1.291992,-3.185545,-0.001958,-0.028661,1.989849,0.000000,0.000852,0.012471,0.000000,1.989849,0.002101,0.030748,0.000852,0.002101,0.000001,-0.003696,0.012471,0.030748,-0.003696,-0.003696
2025-01-16 09:19:32,2,330410.369403,3357471.923428,1,330410.041117,3357470.139192,3.273989,0.653124,3.549735,-0.002245,-0.031099,1.989498,0.000000,-0.000448,-0.006204,0.000000,1.989498,-0.002434,-0.033718,-0.000448,-0.002434,0.000002,-0.004028,-0.006204,-0.033718,-0.004028,-0.004028
2025-01-16 09:19:32,2,330410.369403,3357471.923428,-1,330411.012445,3357473.501874,2.889742,-1.279331,-3.140317,-0.001981,-0.027449,1.989498,0.000000,0.000877,0.012152,0.000000,1.989498,0.002153,0.029829,0.000877,0.002153,0.000001,-0.003556,0.012152,0.029829,-0.003556,-0.003556
2025-01-16 09:19:32,3,330408.891640,3357472.331129,1,330408.635513,3357470.520907,3.324405,0.509481,3.600840,-0.002359,-0.031122,1.989170,0.000000,-0.000361,-0.004770,0.000000,1.989170,-0.002555,-0.033710,-0.000361,-0.002555,0.000002,-0.004045,-0.004770,-0.033710,-0.004045,-0.004045
2025-01-16 09:19:32,3,330408.891640,3357472.331129,-1,330409.466276,3357473.904064,2.789145,-1.143048,-3.128835,-0.001979,-0.026111,1.989170,0.000000,0.000811,0.010701,0.000000,1.989170,0.002220,0.029291,0.000811,0.002220,0.000001,-0.003394,0.010701,0.029291,-0.003394,-0.003394
2025-01-16 09:19:32,4,330407.410707,3357472.707673,1,330407.153323,3357470.892393,3.342606,0.511877,3.610168,-0.002469,-0.030743,1.988767,0.000000,-0.000378,-0.004708,0.000000,1.988767,-0.002666,-0.033204,-0.000378,-0.002666,0.000002,-0.004009,-0.004708,-0.033204,-0.004009,-0.004009
2025-01-16 09:19:32,4,330407.410707,3357472.707673,-1,330407.980620,3357474.260695,2.721308,-1.133425,-3.088599,-0.002010,-0.025029,1.988767,0.000000,0.000837,0.010425,0.000000,1.988767,0.002281,0.028407,0.000837,0.002281,0.000001,-0.003264,0.010425,0.028407,-0.003264,-0.003264
2025-01-16 09:19:32,5,330405.926262,3357473.045406,1,330405.754873,3357471.202132,3.407091,0.340784,3.665097,-0.002618,-0.030715,1.988363,0.000000,-0.000262,-0.003072,0.000000,1.988363,-0.002817,-0.033041,-0.000262,-0.002817,0.000002,-0.004021,-0.003072,-0.033041,-0.004021,-0.004021
2025-01-16 09:19:32,5,330405.926262,3357473.045406,-1,330406.416397,3357474.593539,2.621605,-0.974565,-3.078251,-0.002015,-0.023634,1.988363,0.000000,0.000749,0.008786,0.000000,1.988363,0.002366,0.027750,0.000749,0.002366,0.000002,-0.003094,0.008786,0.027750,-0.003094,-0.003094
2025-01-16 09:19:32,6,330404.440487,3357473.341608,1,330404.268985,3357471.497809,3.408213,0.340923,3.665236,-0.002745,-0.029914,1.987872,0.000000,-0.000275,-0.002992,0.000000,1.987872,-0.002952,-0.032170,-0.000275,-0.002952,0.000002,-0.003938,-0.002992,-0.032170,-0.003938,-0.003938
2025-01-16 09:19:32,6,330404.440487,3357473.341608,-1,330404.928267,3357474.877170,2.580139,-0.969645,-3.052501,-0.002078,-0.022646,1.987872,0.000000,0.000781,0.008511,0.000000,1.987872,0.002459,0.026792,0.000781,0.002459,0.000002,-0.002981,0.008511,0.026792,-0.002981,-0.002981
2025-01-16 09:19:32,7,330402.955265,3357473.586736,1,330402.898880,3357471.719214,3.468852,0.112062,3.711542,-0.002921,-0.029544,1.987416,0.000000,-0.000094,-0.000954,0.000000,1.987416,-0.003125,-0.031611,-0.000094,-0.003125,0.000002,-0.003916,-0.000954,-0.031611,-0.003916,-0.003916
2025-01-16 09:19:32,8,330401.474746,3357473.780158,1,330401.418924,3357471.917124,3.451232,0.110912,3.701634,-0.003057,-0.028265,1.986884,0.000000,-0.000098,-0.000908,0.000000,1.986884,-0.003279,-0.030316,-0.000098,-0.003279,0.000003,-0.003780,-0.000908,-0.030316,-0.003780,-0.003780
2025-01-16 09:19:32,9,330400.002437,3357473.912593,1,330400.078733,3357472.043614,3.475192,-0.151558,3.712625,-0.003216,-0.027306,1.986445,0.000000,0.000140,0.001191,0.000000,1.986445,-0.003436,-0.029172,0.000140,-0.003436,0.000003,-0.003691,0.001191,-0.029172,-0.003691,-0.003691
